Date,Longs,Shorts,Return
2021-10-31,,,0
2021-11-30,"1000SHIB/USDT:USDT,CRV/USDT:USDT,DOT/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,SAND/USDT:USDT,STORJ/USDT:USDT,SUSHI/USDT:USDT","AAVE/USDT:USDT,ADA/USDT:USDT,ATOM/USDT:USDT,AXS/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,EOS/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT,XRP/USDT:USDT",-0.003941068840920325
2021-12-31,"AAVE/USDT:USDT,ATOM/USDT:USDT,AVAX/USDT:USDT,DOGE/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,SAND/USDT:USDT,SUSHI/USDT:USDT,UNFI/USDT:USDT","AXS/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,FIL/USDT:USDT,LTC/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT,ZIL/USDT:USDT",-0.04844215224939802
2022-01-31,"1000SHIB/USDT:USDT,ADA/USDT:USDT,ATOM/USDT:USDT,DYDX/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT,UNFI/USDT:USDT","ALGO/USDT:USDT,BCH/USDT:USDT,BTC/USDT:USDT,CHZ/USDT:USDT,EOS/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,STORJ/USDT:USDT,SUSHI/USDT:USDT,TRB/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT",-0.05441024283426219
2022-02-28,"1000SHIB/USDT:USDT,ATOM/USDT:USDT,AXS/USDT:USDT,DYDX/USDT:USDT,FTM/USDT:USDT,GALA/USDT:USDT,LRC/USDT:USDT,MANA/USDT:USDT,NEAR/USDT:USDT,SOL/USDT:USDT,THETA/USDT:USDT,XRP/USDT:USDT","ALGO/USDT:USDT,BNB/USDT:USDT,DOGE/USDT:USDT,DOT/USDT:USDT,EOS/USDT:USDT,FIL/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,SAND/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT,ZIL/USDT:USDT",-0.27239313184146335
2022-03-31,"AAVE/USDT:USDT,ADA/USDT:USDT,AXS/USDT:USDT,CHZ/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,LINA/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT,ZIL/USDT:USDT","1000SHIB/USDT:USDT,ATOM/USDT:USDT,AVAX/USDT:USDT,BNB/USDT:USDT,DOGE/USDT:USDT,DOT/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,UNI/USDT:USDT",-0.14253416008412356
2022-04-30,"1000SHIB/USDT:USDT,AAVE/USDT:USDT,BCH/USDT:USDT,CRV/USDT:USDT,DOGE/USDT:USDT,ETC/USDT:USDT,FIL/USDT:USDT,LINA/USDT:USDT,NEAR/USDT:USDT,STORJ/USDT:USDT,TRX/USDT:USDT,ZIL/USDT:USDT","ADA/USDT:USDT,ALGO/USDT:USDT,AXS/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOT/USDT:USDT,ETH/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,MANA/USDT:USDT,SUSHI/USDT:USDT,UNI/USDT:USDT",-0.030175466578123228
2022-05-31,"AAVE/USDT:USDT,AXS/USDT:USDT,CRV/USDT:USDT,DOT/USDT:USDT,GALA/USDT:USDT,MANA/USDT:USDT,MASK/USDT:USDT,RUNE/USDT:USDT,SUSHI/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","ALGO/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,EOS/USDT:USDT,ETH/USDT:USDT,FIL/USDT:USDT,LINK/USDT:USDT,LTC/USDT:USDT,NEAR/USDT:USDT,XRP/USDT:USDT",0.05655780643753844
2022-06-30,"1000SHIB/USDT:USDT,CRV/USDT:USDT,DYDX/USDT:USDT,GALA/USDT:USDT,RUNE/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT,STORJ/USDT:USDT,THETA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,ZIL/USDT:USDT","ADA/USDT:USDT,ALGO/USDT:USDT,BCH/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,CHZ/USDT:USDT,EOS/USDT:USDT,FIL/USDT:USDT,FTM/USDT:USDT,LRC/USDT:USDT,MASK/USDT:USDT,XRP/USDT:USDT",0.1624472470777989
2022-07-31,"AAVE/USDT:USDT,AXS/USDT:USDT,BCH/USDT:USDT,CRV/USDT:USDT,DYDX/USDT:USDT,ETC/USDT:USDT,ETH/USDT:USDT,FIL/USDT:USDT,RUNE/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT,UNI/USDT:USDT","ADA/USDT:USDT,ALGO/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,DOGE/USDT:USDT,GALA/USDT:USDT,LTC/USDT:USDT,MANA/USDT:USDT,THETA/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT,ZIL/USDT:USDT",-0.08544613007276393
2022-08-31,"1000SHIB/USDT:USDT,AAVE/USDT:USDT,CHZ/USDT:USDT,DOGE/USDT:USDT,EOS/USDT:USDT,FIL/USDT:USDT,LRC/USDT:USDT,NEAR/USDT:USDT,SUSHI/USDT:USDT,THETA/USDT:USDT,TRB/USDT:USDT,UNFI/USDT:USDT","ADA/USDT:USDT,ALGO/USDT:USDT,AXS/USDT:USDT,BNB/USDT:USDT,BTC/USDT:USDT,GALA/USDT:USDT,LTC/USDT:USDT,SAND/USDT:USDT,SOL/USDT:USDT,TRX/USDT:USDT,XRP/USDT:USDT,ZIL/USDT:USDT",-0.08470508543278787
